Id,vitalSignSubTypeRefId,vitalSignCategoryName,klass
1000,1000,IDEAL,G
1001,1000,HYPOTENSION,Y
1002,1000,PRE-HIGH,Y
1003,1000,HIGH - STAGE-1 HT,R
1004,1000,HIGH - STAGE-2 HT,R
1005,1000,HYPERINTENSIVE CRISIS,E
1006,1010,IDEAL,G
1007,1010,HYPOTENSION,Y
1008,1010,PRE-HIGH,Y
1009,1010,HIGH - STAGE-1 HT,R
1010,1010,HIGH - STAGE-2 HT,R
1011,1010,HYPERINTENSIVE CRISIS,E
1012,1020,IDEAL,G
1022,1024,IDEAL,G
1013,1030,IDEAL,G
1014,1030,PRE-DIABETES,Y
1015,1030,DIABETES,R
1016,1040,IDEAL,G
1017,1040,PRE-DIABETES,Y
1018,1040,DIABETES,R
1019,1050,IDEAL,G
1020,1050,HYPOTHERMIA,R
1021,1050,FEVER,Y
1023,1045,IDEAL,G
1024,1045,PRE-DIABETES,Y
1025,1045,DIABETES,R
1026,1060,IDEAL,G
1027,1060,HYPOGLYCEMIA,R
1028,1060,DKA,E
1030,1070,IDEAL,G
1040,1070,UNDER-WEIGHT,Y
1050,1070,OVER-WEIGHT,Y
1060,1070,OBESE,R
1070,1070,EXTREME OBESE,E
