Id,speciality
1000,General Practitioner
1010,Allergology
1020,Andrology
1030,Anesthesia
1040,Angiology
1050,Cancer
1060,Cardiology
1070,Dentistry
1080,Dermatology
1090,Endocrinology
1100,Gastroenterology
1110,Geriatrics
1120,Gerontology
1130,Gynaecology
1140,Hepatology
1150,Immunology
1160,Infectious diseases
1170,Nephrology
1180,Neurology
1190,Obstetrics
1200,Oncology
1210,Ophthalmology
1220,Otolaryngology
1230,Pathology
1240,Pediatrics
1250,Podiatry
1260,Psychiatry
1270,Pulmonology
1280,Radiology
1290,Rheumatology
1300,Sexual health
1310,Toxicology
1320,Urology
